Date,Gold_IDR_gram,USDIDR,IHSG
2015-10-23,504089.8309870422,13478.0,4652.96484375
2015-10-26,507268.9568698057,13520.0,4691.5283203125
2015-10-27,510558.25436207437,13610.0,4673.87646484375
2015-10-28,516578.991648787,13650.0,4608.560546875
2015-10-29,501686.74701689015,13602.0,4471.8466796875
2015-10-30,499194.0778368993,13602.0,4455.0068359375
2015-11-02,497723.87884088105,13630.0,4464.78515625
2015-11-03,486467.28943411715,13580.0,4532.9091796875
2015-11-04,476524.10500425997,13395.0,4612.38525390625
2015-11-05,477750.16729600244,13455.0,4577.0546875
2015-11-06,472930.3669940619,13525.0,4566.3740234375
2015-11-09,476033.86539377854,13610.0,4499.33154296875
2015-11-10,477389.6292616662,13645.0,4450.88037109375
2015-11-11,472889.9107139269,13560.0,4451.416015625
2015-11-12,469973.4968862151,13525.0,4462.05126953125
2015-11-13,472927.1196023207,13610.0,4472.66357421875
2015-11-16,478829.9846948118,13743.0,4442.00732421875
2015-11-17,470999.69233893487,13708.0,4500.771484375
2015-11-18,471456.15991518233,13720.0,4497.73486328125
2015-11-19,474994.45400035364,13705.0,4518.76416015625
2015-11-20,472559.1117840122,13655.0,4561.15673828125
2015-11-23,464400.23345066677,13540.0,4540.88916015625
2015-11-24,471982.5796851264,13665.0,4545.201171875
2015-11-25,468764.28697734984,13620.0,4585.3671875
2015-11-26,468764.28697734984,13590.0,4596.87841796875
2015-11-27,466407.52099749877,13735.0,4560.3828125
2015-11-30,467323.0043537855,13638.0,4446.28515625
2015-12-01,474825.5366078049,13883.0,4557.49072265625
2015-12-02,468405.27031347953,13820.0,4545.68603515625
2015-12-03,471293.9452418564,13807.0,4537.205078125
2015-12-04,477509.84615879244,13695.0,4508.27685546875
2015-12-07,476123.63675755693,13758.0,4521.2158203125
2015-12-08,479955.0429130513,13870.0,4464.00830078125
2015-12-09,484311.09227951255,13979.0,4464.00830078125
2015-12-10,480253.07956198655,13920.0,4466.03564453125
2015-12-11,482126.8616061157,13925.0,4393.35107421875
2015-12-14,483682.232226553,14130.0,4374.0205078125
2015-12-15,478319.53451295296,13997.0,4409.00048828125
2015-12-16,484178.950921922,13970.0,4483.27880859375
2015-12-17,464867.57669956755,13760.0,4555.78662109375
2015-12-18,480592.9659179735,14020.0,4468.4794921875
2015-12-21,482278.32361312956,13865.0,4490.505859375
2015-12-22,475485.0313268603,13760.0,4517.392578125
2015-12-23,469142.165130287,13645.0,4522.4775390625
2015-12-24,471871.3114188692,13625.0,4522.4775390625
2015-12-28,469108.4604626489,13630.0,4557.177734375
2015-12-29,467499.23642033857,13495.0,4569.18310546875
2015-12-30,466323.3355077981,13682.0,4592.8291015625
2015-12-31,471967.91923820117,13845.0,4592.8291015625
2016-01-04,476136.1957238346,13775.0,4525.74267578125
2016-01-05,483907.8927049068,13957.0,4557.64453125
2016-01-06,484629.6988131925,13805.0,4608.80224609375
2016-01-07,495203.68514941796,13905.0,4530.271484375
2016-01-08,491660.2530318382,13930.0,4546.111328125
2016-01-11,489667.8830356712,13890.0,4465.30908203125
2016-01-12,481833.48057176423,13805.0,4512.3515625
2016-01-13,482327.14967768907,13795.0,4537.00244140625
2016-01-14,478090.68555183575,13847.0,4513.005859375
2016-01-15,485154.0019611941,13825.0,4523.7998046875
2016-01-18,485154.0019611941,13973.0,4481.1015625
2016-01-19,487946.94616251613,13925.0,4491.5615234375
2016-01-20,492265.9077709427,13830.0,4427.8125
2016-01-21,488532.0675318078,13825.0,4413.9541015625
2016-01-22,485712.0943844116,13769.0,4456.57080078125
2016-01-25,488913.81126753474,13747.0,4505.61279296875
2016-01-26,498757.70651878504,13830.0,4510.29248046875
2016-01-27,498061.87924615596,13880.0,4583.44921875
2016-01-28,495041.1002953722,13802.0,4602.650390625
2016-01-29,494068.07388427574,13765.0,4614.9833984375
2016-02-01,495893.8008218465,13675.0,4624.45458984375
2016-02-02,493999.05687550735,13630.0,4587.25634765625
2016-02-03,503803.4198855484,13730.0,4595.92919921875
2016-02-04,505490.47111766203,13582.0,4665.6357421875
2016-02-05,506694.56056869606,13612.0,4798.7587890625
2016-02-08,523203.878395198,13585.0,4798.7587890625
2016-02-09,527060.3157916814,13676.0,4768.439453125
2016-02-10,520845.9285254272,13560.0,4732.29833984375
2016-02-11,539826.5413375089,13455.0,4775.67431640625
2016-02-12,537015.6950471309,13480.0,4714.2099609375
2016-02-15,537015.6950471309,13465.0,4740.54150390625
2016-02-16,515532.74789321714,13275.0,4744.8193359375
2016-02-17,521648.8939484239,13397.0,4765.3212890625
2016-02-18,532170.002424491,13500.0,4778.6083984375
2016-02-19,530673.921825989,13415.0,4697.376953125
2016-02-22,522126.3362644075,13427.0,4708.43701171875
2016-02-23,526001.4517197246,13385.0,4653.873046875
